"Name","Archived","Description","Parent IDs","Parent names"
"Beef: Burger Patties",,,,
"Beef: Chuck Roast",,,,
"Beef: Cubed",,,,
"Beef: Ground",,,,
"Beef: Shaved Steak",,,,
"Broccoli: Frozen",,,,
"Broccoli: Crowns",,,,
"Cabbage: Green",,,,
"Cantaloupes: Frozen",,,,
"Carrots: Fresh",,,,
"Carrots: Frozen Coins",,,,
"Carrots: Juice",,,,
"Cauliflower: Frozen",,,,
"Chard: Green",,,,
"Frisee",,,,
"Grass",,,,
"Lettuce: Romaine: Chopped",,,,
"Parsley: Flat",,,,
"Parsley: Fresh",,,,
"Peppers: Bell: Sliced",,,,
"Peppers: Bell: Sliced Fresh",,,,
"Peppers: Bell: Strips",,,,
"Peppers: Bell: Strips Frozen",,,,
"Potatoes: C Size",,,,
"Salad Dressing",,,,
"Salsa",,,,
"Spinach: Baby",,,,
"Spinach: Fresh Large",,,,
"Spinach: Frozen",,,,
"Spring Mix",,,,
"Strawberries: Frozen",,,,
"Tomatoes: Grape",,,,
