"Name","Archived","Description","Parent IDs","Parent names","Crop/variety","Season"
"Arugula",,,,,"Arugula",
"Asparagus",,,,,"Asparagus",
"Beans",,,,,"Beans",
"Beets",,,,,"Beets",
"Bokchoy",,,,,"Bokchoy",
"Broccoli",,,,,"Broccoli",
"Broccoli Rabe",,,,,"Broccoli Rabe",
"Brussel Sprouts",,,,,"Brussel Sprouts",
"Cabbage",,,,,"Cabbage",
"Carrots",,,,,"Carrots",
"Cauliflower",,,,,"Cauliflower",
"Celeriac",,,,,"Celeriac",
"Celery",,,,,"Celery",
"Chard",,,,,"Chard",
"Chinese Cabbage",,,,,"Chinese Cabbage",
"Collards",,,,,"Collards",
"Corn: Sweet",,,,,"Corn: Sweet",
"Cucumbers",,,,,"Cucumbers",
"Cucumbers: Pickling",,,,,"Cucumbers: Pickling",
"Dandelion",,,,,"Dandelion",
"Eggplants",,,,,"Eggplants",
"Endive",,,,,"Endive",
"Escarole",,,,,"Escarole",
"Fennel",,,,,"Fennel",
"Grass",,,,,"Grass",
"Greens: Mes Mix",,,,,"Greens: Mes Mix",
"Kale",,,,,"Kale",
"Kohlrabi",,,,,"Kohlrabi",
"Leeks",,,,,"Leeks",
"Lettuce",,,,,"Lettuce",
"Lettuce: Green",,,,,"Lettuce: Green",
"Lettuce: Mes Mix",,,,,"Lettuce: Mes Mix",
"Lettuce: Red",,,,,"Lettuce: Red",
"Lettuce: Romaine",,,,,"Lettuce: Romaine",
"Okra",,,,,"Okra",
"Onions: Fresh",,,,,"Onions: Fresh",
"Onions: Spring",,,,,"Onions: Spring",
"Onions: Storage",,,,,"Onions: Storage",
"Parsnips",,,,,"Parsnips",
"Peas: Snap",,,,,"Peas: Snap",
"Peppers: Bell",,,,,"Peppers: Bell",
"Peppers: Hot",,,,,"Peppers: Hot",
"Potatoes",,,,,"Potatoes",
"Radicchio",,,,,"Radicchio",
"Radishes",,,,,"Radishes",
"Radishes: Daikon",,,,,"Radishes: Daikon",
"Scallions",,,,,"Scallions",
"Soybeans",,,,,"Soybeans",
"Spinach",,,,,"Spinach",
"Spring Mix",,,,,"Spring Mix",
"Squash: Butternut",,,,,"Squash: Butternut",
"Squash: Summer",,,,,"Squash: Summer",
"Squash: Summer",,,,,"Squash: Summer",
"Squash: Winter",,,,,"Squash: Winter",
"Sweet Potatoes",,,,,"Sweet Potatoes",
"Tomatoes: Cherry",,,,,"Tomatoes: Cherry",
"Tomatoes: Grape",,,,,"Tomatoes: Grape",
"Tomatoes: Heirloom",,,,,"Tomatoes: Heirloom",
"Tomatoes: Paste",,,,,"Tomatoes: Paste",
"Tomatoes: Slicing",,,,,"Tomatoes: Slicing",
"Turnips",,,,,"Turnips",
"Zucchini",,,,,"Zucchini",
